SENTENCE1,SENTENCE2,Interpretation,BERT,GPT-2
Some people do it every day.,Not all people do it every day.,Pragmatic,0.72907567,0.730973661
Some states counted administrative areas as urban units.,Not all states counted administrative areas as urban units.,Pragmatic,0.730973005,0.731004059
Some features of the urban pattern of 1880 are fairly clear.,Not all features of the urban pattern of 1880 are fairly clear.,Pragmatic,0.730393052,0.731011331
Some theists and atheists can talk to one another.,Not all theists and atheists can talk to one another.,Pragmatic,0.730262756,0.730970502
Some colleges and courses offer a training in the use of music in worship.,Not all colleges and courses offer a training in the use of music in worship.,Pragmatic,0.730629683,0.731019258
Some sins need a combination of external prompting and inner weakness.,Not all sins need a combination of external prompting and inner weakness.,Pragmatic,0.730621338,0.730956376
Some people call it a contribution to the safety net.,Not all people call it a contribution to the safety net.,Pragmatic,0.730829895,0.73098433
Some people are frightened.,Not all people are frightened.,Pragmatic,0.729221165,0.730815291
Some sounds look similar but sound different.,Not all sounds look similar but sound different.,Pragmatic,0.730862677,0.730815649
Some proteins serve as hormones such as growth hormone in animals.,Not all proteins serve as hormones such as growth hormone in animals.,Pragmatic,0.731019437,0.730373263
Some contractors pulled out after cash rows.,Not all contractors pulled out after cash rows.,Pragmatic,0.727079332,0.730997741
Some people are rather slow.,Not all people are rather slow.,Pragmatic,0.730466843,0.730902016
Some speakers emphasised the importance of crime prevention community liaison and education.,Not all speakers emphasised the importance of crime prevention community liaison and education.,Pragmatic,0.730925679,0.731006682
Some people might prefer it.,Not all people might prefer it.,Pragmatic,0.73045361,0.730927706
Some sunbathers went ahead regardless.,Not all sunbathers went ahead regardless.,Pragmatic,0.73026222,0.730855107
Some church-goers are impressed.,Not all church-goers are impressed.,Pragmatic,0.729925692,0.730836153
Some pupils are absent only on particular days of the week.,Not all pupils are absent only on particular days of the week.,Pragmatic,0.731036305,0.731026113
Some band members will contribute to the work.,Not all band members will contribute to the work.,Pragmatic,0.731007695,0.730894208
Some homes were high.,Not all homes were high.,Pragmatic,0.724952102,0.730799258
Some problems show up more markedly at smaller gatherings.,Not all problems show up more markedly at smaller gatherings.,Pragmatic,0.730489731,0.73093909
Some people take advice.,Not all people take advice.,Pragmatic,0.730893075,0.730839252
Some nurses bustled along.,Not all nurses bustled along.,Pragmatic,0.729440868,0.730942845
Some qualifications are in order.,Not all qualifications are in order.,Pragmatic,0.730391145,0.730830252
Some woods produce little heat and a lot of ash.,Not all woods produce little heat and a lot of ash.,Pragmatic,0.730339587,0.731026471
Some men must love their lady.,Not all men must love their lady.,Pragmatic,0.730727673,0.73084408
Some groups of bats specialize in one of them.,Not all groups of bats specialize in one of them.,Pragmatic,0.730315328,0.730917692
Some universities and colleges have the services of a chaplain.,Not all universities and colleges have the services of a chaplain.,Pragmatic,0.730066955,0.730994403
Some actors prefer the risks.,Not all actors prefer the risks.,Pragmatic,0.728202164,0.730885029
Some management procedures can not work very well in M and E as they can in civils.,Not all management procedures can not work very well in M and E as they can in civils.,Pragmatic,0.730781198,0.731028914
Some people raised concerns over.,Not all people raised concerns over.,Pragmatic,0.728793085,0.730918825
Some people under eighteen can claim his attention.,Not all people under eighteen can claim his attention.,Pragmatic,0.730194151,0.730976045
Some varieties will cope better with cold aspects.,Not all varieties will cope better with cold aspects.,Pragmatic,0.731056273,0.730957627
Some courses are good.,Not all courses are good.,Pragmatic,0.723431349,0.730925858
Some agencies recommend entirely the opposite.,Not all agencies recommend entirely the opposite.,Pragmatic,0.730589211,0.730960965
Some marriages are vulnerable.,Not all marriages are vulnerable.,Pragmatic,0.731055439,0.730868578
Some people write it.,Not all people write it.,Pragmatic,0.728937268,0.730912507
Some people chat it.,Not all people chat it.,Pragmatic,0.730852604,0.730771959
Some women were capable of the most startling changes.,Not all women were capable of the most startling changes.,Pragmatic,0.729465365,0.730986059
Some plans are natural.,Not all plans are natural.,Pragmatic,0.726485789,0.730837941
Some ladies work for the council.,Not all ladies work for the council.,Pragmatic,0.72337085,0.730860412
Some of the Paper 's suggestions will strike the observers as strange or unworkable.,Not all of the Paper 's suggestions will strike the observers as strange or unworkable.,Pragmatic,0.731037974,0.73096329
Some employees welcome a nudge in the right direction.,Not all employees welcome a nudge in the right direction.,Pragmatic,0.730833411,0.730996072
Some parents duck out of both of these.,Not all parents duck out of both of these.,Pragmatic,0.727782309,0.731000662
Some copies will soon be available on the black market at between 70 and 150 roubles.,Not all copies will soon be available on the black market at between 70 and 150 roubles.,Pragmatic,0.730872989,0.731029689
Some groups may need even more.,Not all groups may need even more.,Pragmatic,0.727605104,0.73094219
Some people need blood transfusions as part of ordinary medical treatment for various kinds of illnesses.,Not all people need blood transfusions as part of ordinary medical treatment for various kinds of illnesses.,Pragmatic,0.731028736,0.731008768
Some attitudes are negative.,Not all attitudes are negative.,Pragmatic,0.730809569,0.730894864
Some decisions are multiple.,Not all decisions are multiple.,Pragmatic,0.730236769,0.730920851
Some plants will always be plants part of the building blocks of creation.,Not all plants will always be plants part of the building blocks of creation.,Pragmatic,0.731035888,0.731008708
Some metal finishes are not obvious from their names.,Not all metal finishes are not obvious from their names.,Pragmatic,0.730292976,0.730974972
Some sections of an audience would hear one sound.,Not all sections of an audience would hear one sound.,Pragmatic,0.726556838,0.730934083
Some farmers spend much on workers.,Not all farmers spend much on workers.,Pragmatic,0.730207562,0.730913401
Some judges and academic authorities favour a narrow approach to the meaning of the term.,Not all judges and academic authorities favour a narrow approach to the meaning of the term.,Pragmatic,0.730564833,0.731006265
Some people do protests.,Not all people do protests.,Pragmatic,0.722426116,0.730947852
Some relationships are of just this kind.,Not all relationships are of just this kind.,Pragmatic,0.73092252,0.730861127
Some people go off to El Vino 's or the Falstaff.,Not all people go off to El Vino 's or the Falstaff.,Pragmatic,0.731034994,0.730979145
Some women sustain positive feelings all the way through.,Not all women sustain positive feelings all the way through.,Pragmatic,0.731014252,0.731010556
Some people feel the cold.,Not all people feel the cold.,Pragmatic,0.731036365,0.730861127
Some children and substitute parents need the certainty of the legal tie of adoption.,Not all children and substitute parents need the certainty of the legal tie of adoption.,Pragmatic,0.730661154,0.731013894
Some kids put another's handwork down.,Not all kids put another's handwork down.,Pragmatic,0.725463927,0.731020153
Some commentators spoke of the Japanisation of British industrial relations.,Not all commentators spoke of the Japanisation of British industrial relations.,Pragmatic,0.730311632,0.730993748
Some visits may only be for convenience shopping.,Not all visits may only be for convenience shopping.,Pragmatic,0.725126982,0.730982542
Some members can provide it.,Not all members can provide it.,Pragmatic,0.731025994,0.730880558
Some societies fear hostile bids a subject on the agenda at the Building Societies Association council meeting tomorrow.,Not all societies fear hostile bids a subject on the agenda at the Building Societies Association council meeting tomorrow.,Pragmatic,0.729553044,0.731033146
Some people do sort of Amstrad kits.,Not all people do sort of Amstrad kits.,Pragmatic,0.731055021,0.730986655
Some staff realised the knock-on effects of the developments to that date and of the predicted integration of the library and the audio-visual resources area.,Not all staff realised the knock-on effects of the developments to that date and of the predicted integration of the library and the audio-visual resources area.,Pragmatic,0.730434299,0.731048882
Some walks are accessible.,Not all walks are accessible.,Pragmatic,0.728738248,0.730584383
Some unemployment is a result of depressed demand.,Not all unemployment is a result of depressed demand.,Pragmatic,0.73032093,0.73054266
Some sites of cancer are common.,Not all sites of cancer are common.,Pragmatic,0.72691679,0.730914116
Some commodity contracts state that certificates of inspection of certain commodities are final as to quality.,Not all commodity contracts state that certificates of inspection of certain commodities are final as to quality.,Pragmatic,0.729668677,0.731037199
Some stall holders still aren't happy.,Not all stall holders still aren't happy.,Pragmatic,0.729640305,0.730884314
Some bastard will pay.,Not all bastard will pay.,Pragmatic,0.729787409,0.730945706
Some people murder their children.,Not all people murder their children.,Pragmatic,0.727245927,0.73094815
Some professors and other senior may wear collars and ties with more formal suits.,Not all professors and other senior may wear collars and ties with more formal suits.,Pragmatic,0.730999351,0.731012106
Some jobs or hobbies allow verbally or physically for sublimation of impulses.,Not all jobs or hobbies allow verbally or physically for sublimation of impulses.,Pragmatic,0.727026165,0.731011093
Some provisions apply to every officer of companies whether directors managers auditors or members of a supervisory board in regard to the duty of care appointment and cessation of their office.,Not all provisions apply to every officer of companies whether directors managers auditors or members of a supervisory board in regard to the duty of care appointment and cessation of their office.,Pragmatic,0.731051624,0.731044888
Some people thrive on it.,Not all people thrive on it.,Pragmatic,0.730794311,0.730919778
Some firms such as Texas already supply their software in this form.,Not all firms such as Texas already supply their software in this form.,Pragmatic,0.730740786,0.730913877
Some blokes have the luck.,Not all blokes have the luck.,Pragmatic,0.727297544,0.730922043
Some policy issues may require identification of the effects of other variables such as age qualifications and marital status.,Not all policy issues may require identification of the effects of other variables such as age qualifications and marital status.,Pragmatic,0.730975807,0.731032968
Some yeasts can grow in both ways either as hyphae or as single cells.,Not all yeasts can grow in both ways either as hyphae or as single cells.,Pragmatic,0.725980103,0.73104012
Some producets were more expensive in France.,Not all producets were more expensive in France.,Pragmatic,0.730574608,0.730931461
Some women had the luck.,Not all women had the luck.,Pragmatic,0.730333149,0.730940402
Some people can change their questions.,Not all people can change their questions.,Pragmatic,0.730024517,0.730977118
Some organisations specify that the disturbance allowance covers such items.,Not all organisations specify that the disturbance allowance covers such items.,Pragmatic,0.728905082,0.731014311
Some patients may experience pain at the site of the rash for six months or even longer.,Not all patients may experience pain at the site of the rash for six months or even longer.,Pragmatic,0.728666842,0.73102206
Some men hate women.,Not all men hate women.,Pragmatic,0.731002092,0.73085922
Some women feel more keen especially during the middle few months.,Not all women feel more keen especially during the middle few months.,Pragmatic,0.717996001,0.731001496
Some skins had long side-burns terminating at the lower jaw.,Not all skins had long side-burns terminating at the lower jaw.,Pragmatic,0.731058478,0.730948031
Some Scots Labourites are fervently Unionist.,Not all Scots Labourites are fervently Unionist.,Pragmatic,0.729654729,0.730952501
Some people see it as instant answer to every problem in life.,Not all people see it as instant answer to every problem in life.,Pragmatic,0.73105824,0.730987728
Some birds may do better in that situation.,Not all birds may do better in that situation.,Pragmatic,0.7310341,0.730949104
Some versions of traditional positivism may well do.,Not all versions of traditional positivism may well do.,Pragmatic,0.730523705,0.730997562
Some GPs already undertake minor elective surgery.,Not all GPs already undertake minor elective surgery.,Pragmatic,0.731058538,0.731004357
Some countries of socialist orientation such as Afghanistan became very close allies of the USSR in the Brezhnev years.,Not all countries of socialist orientation such as Afghanistan became very close allies of the USSR in the Brezhnev years.,Pragmatic,0.73015666,0.730999887
Some winners are coming up.,Not all winners are coming up.,Pragmatic,0.721118152,0.73086983
Some countries are above us.,Not all countries are above us.,Pragmatic,0.730420113,0.730912507
Some folks are funny.,Not all folks are funny.,Pragmatic,0.729165137,0.730842292
Some programmes would involve more than one organization.,Not all programmes would involve more than one organization.,Pragmatic,0.72798872,0.730994046
Some punters still offer more money for sex without a condom.,Not all punters still offer more money for sex without a condom.,Pragmatic,0.726936102,0.731020391
Some records are wacky.,Not all records are wacky.,Pragmatic,0.719697714,0.730860114
Some foods are pretty universally popular.,Not all foods are pretty universally popular.,Pragmatic,0.727199793,0.730970204
Some newspapers publicly reject the lobby and its works.,Not all newspapers publicly reject the lobby and its works.,Pragmatic,0.731052518,0.730963707
Some countries are in the midst of a recession.,Not all countries are in the midst of a recession.,Pragmatic,0.729770243,0.730954289
Some men from an ML did this damage.,Not all men from an ML did this damage.,Pragmatic,0.730971694,0.73096025
Some people have no pride.,Not all people have no pride.,Pragmatic,0.730400741,0.730924428
Some patients are suspicious about the timing.,Not all patients are suspicious about the timing.,Pragmatic,0.731044412,0.730952322
Some illuminating principles emerged.,Not all illuminating principles emerged.,Pragmatic,0.725956321,0.730804622
Some of the brass sounds are good.,Not all of the brass sounds are good.,Pragmatic,0.730875432,0.730918705
Some people do up to two a week.,Not all people do up to two a week.,Pragmatic,0.730837226,0.730988681
Some lecturers give you a set of references.,Not all lecturers give you a set of references.,Pragmatic,0.728918791,0.731010914
Some Jokaero must have psyches.,Not all Jokaero must have psyches.,Pragmatic,0.728364289,0.730953455
Some drivers are such gullible dicks.,Not all drivers are such gullible dicks.,Pragmatic,0.731056809,0.730915248
Some folks get the luck.,Not all folks get the luck.,Pragmatic,0.727605045,0.730866492
Some items are effectively open.,Not all items are effectively open.,Pragmatic,0.73064661,0.730912685
Some people learn just in time.,Not all people learn just in time.,Pragmatic,0.729884148,0.730946422
Some boys will be like that.,Not all boys will be like that.,Pragmatic,0.729648352,0.730974257
Some anurans defend themselves in a more active way.,Not all anurans defend themselves in a more active way.,Pragmatic,0.730512619,0.731004119
Some objects are hard to value.,Not all objects are hard to value.,Pragmatic,0.731003821,0.730990171
Some people with similar experiences may not view these in exclusively negative terms.,Not all people with similar experiences may not view these in exclusively negative terms.,Pragmatic,0.727484822,0.731025338
Some people were not happy about the accident.,Not all people were not happy about the accident.,Pragmatic,0.730230212,0.730958223
Some speakers invest an effort in the communication process.,Not all speakers invest an effort in the communication process.,Pragmatic,0.730774939,0.730986655
Some football teams won't let the fathers on the pitch.,Not all football teams won't let the fathers on the pitch.,Pragmatic,0.726822019,0.73103708
Some groups still expressed misgivings about the selection.,Not all groups still expressed misgivings about the selection.,Pragmatic,0.722908676,0.730912149
Some of us have Candida yeasts in our gut.,Not all of us have Candida yeasts in our gut.,Pragmatic,0.730583549,0.731009424
Some KMT legislators backed the DPP 's call for a plebiscite on independence.,Not all KMT legislators backed the DPP 's call for a plebiscite on independence.,Pragmatic,0.728054821,0.731016934
Some speeches in the House of Lords in Ashington Piggeries Ltd v Christopher Hill Ltd 1972 AC 441 would suggest an important gloss to this approach.,Not all speeches in the House of Lords in Ashington Piggeries Ltd v Christopher Hill Ltd 1972 AC 441 would suggest an important gloss to this approach.,Pragmatic,0.731033742,0.730956733
Some writers have high and low versions of all tones.,Not all writers have high and low versions of all tones.,Pragmatic,0.730375946,0.730976105
Some issues of securities will inevitably involve judgment of price.,Not all issues of securities will inevitably involve judgment of price.,Pragmatic,0.730703712,0.731010318
Some users have multi-copy stationery.,Not all users have multi-copy stationery.,Pragmatic,0.730830848,0.730882525
Some men of smaller than average build use the drugs to attain a normal build.,Not all men of smaller than average build use the drugs to attain a normal build.,Pragmatic,0.731011868,0.731012166
Some people in the West notably the intelligence community deliberately bestow upon the KGB an incredible reputation for efficiency and prowess.,Not all people in the West notably the intelligence community deliberately bestow upon the KGB an incredible reputation for efficiency and prowess.,Pragmatic,0.73093617,0.731022775
Some reporting is sophisticated.,Not all reporting is sophisticated.,Pragmatic,0.728557408,0.730587661
Some men pinched all the wages at the gravel pit.,Not all men pinched all the wages at the gravel pit.,Pragmatic,0.729204297,0.730996013
Some fans send two cards to the band at Christmas.,Not all fans send two cards to the band at Christmas.,Pragmatic,0.72973913,0.730947196
Some Allied occupation rights still survived in Berlin in 1989.,Not all Allied occupation rights still survived in Berlin in 1989.,Pragmatic,0.730642736,0.731007159
Some vestiges of my teenage thinking linger on.,Not all vestiges of my teenage thinking linger on.,Pragmatic,0.729845047,0.730965495
Some elements of the endoplasmic reticulum had both receptors.,Not all elements of the endoplasmic reticulum had both receptors.,Pragmatic,0.726935983,0.731017888
Some Gargoyles will emerge from the walls and attack as complete creatures.,Not all Gargoyles will emerge from the walls and attack as complete creatures.,Pragmatic,0.727485657,0.730953574
Some people with political ideas have problems.,Not all people with political ideas have problems.,Pragmatic,0.730965495,0.7309708
Some beliefs in violence are unrelated to catholic moral teaching.,Not all beliefs in violence are unrelated to catholic moral teaching.,Pragmatic,0.730914831,0.730947912
Some men never grow up.,Not all men never grow up.,Pragmatic,0.729665697,0.730939567
Some places need cleaners in the day-time.,Not all places need cleaners in the day-time.,Pragmatic,0.730195582,0.730882406
Some people have the luck.,Not all people have the luck.,Pragmatic,0.728370488,0.730873585
Some metals are reactive.,Not all metals are reactive.,Pragmatic,0.730842412,0.730886936
Some patients are well-informed citizens or even experts in their own illnesses.,Not all patients are well-informed citizens or even experts in their own illnesses.,Pragmatic,0.73098433,0.731025934
Some sports seem very complex.,Not all sports seem very complex.,Pragmatic,0.728126466,0.73090905
Some interpretations of modern astrophysics go so far as to suggest that a conscious observer is necessary for the physical universe to exist.,Not all interpretations of modern astrophysics go so far as to suggest that a conscious observer is necessary for the physical universe to exist.,Pragmatic,0.729467332,0.731016099
Some journalists are free to report what they have been told without question.,Not all journalists are free to report what they have been told without question.,Pragmatic,0.72507304,0.731020927
Some modern parents would be horrified at this ritual.,Not all modern parents would be horrified at this ritual.,Pragmatic,0.728892267,0.730962098
