SENTENCE1,SENTENCE2,QUD,BERT,GPT-2
Will any band members contribute to the work?,Some band members will contribute to the work.,Lower,0.000434076,6.473708153
Were any homes high?,Some homes were high.,Lower,0.000851159,7.188737869
Do any problems show up more markedly at smaller gatherings?,Some problems show up more markedly at smaller gatherings.,Lower,0.000293477,5.480016232
Do any people take advice?,Some people take advice.,Lower,0.001842108,6.568610668
Did any nurses bustle along?,Some nurses bustled along.,Lower,0.001089928,7.027338505
Are any qualifications in order?,Some qualifications are in order.,Lower,0.00018819,5.457016468
Do any woods produce little heat and a lot of ash?,Some woods produce little heat and a lot of ash.,Lower,0.000112898,6.974063396
Must any men love their lady?,Some men must love their lady.,Lower,0.001143632,5.994535923
Do any groups of bats specialize in one of them?,Some groups of bats specialize in one of them.,Lower,0.000498658,6.927898407
Do any universities and colleges have the services of a chaplain?,Some universities and colleges have the services of a chaplain.,Lower,0.000171915,7.065611839
Do any actors prefer the risks?,Some actors prefer the risks.,Lower,0.001053113,6.476297855
Can any management procedures work very well in M and E as they can in civils?,Some management procedures can not work very well in M and E as they can in civils.,Lower,0.000526626,5.747330666
Did any people raise concerns over?,Some people raised concerns over.,Lower,0.008139626,6.554758072
Can any people under eighteen claim his attention?,Some people under eighteen can claim his attention.,Lower,0.00109864,6.277386189
Will any varieties cope better with cold aspects?,Some varieties will cope better with cold aspects.,Lower,0.000140438,5.258560181
Are any courses good?,Some courses are good.,Lower,0.000480171,6.802075386
Do any agencies recommend entirely the opposite?,Some agencies recommend entirely the opposite.,Lower,0.000609464,5.929741859
Are any marriages vulnerable?,Some marriages are vulnerable.,Lower,0.000309396,6.738923073
Do any people write it?,Some people write it.,Lower,0.000772775,6.696515083
Do any people chat it?,Some people chat it.,Lower,0.003211703,6.322085857
Were any women capable of the most startling changes?,Some women were capable of the most startling changes.,Lower,0.000576185,5.559679985
Are any plans natural?,Some plans are natural.,Lower,0.001352211,6.203429222
Do any ladies work for the council?,Some ladies work for the council.,Lower,0.002315816,6.56304121
Will any of the Paper 's suggestions strike the observers as strange or unworkable?,Some of the Paper 's suggestions will strike the observers as strange or unworkable.,Lower,0.000699168,4.907565594
Do any employees welcome a nudge in the right direction?,Some employees welcome a nudge in the right direction.,Lower,0.001556713,5.77139616
Do any parents duck out of both of these?,Some parents duck out of both of these.,Lower,0.001508539,5.543725014
Will any copies be available on the black market at between 70 and 150 roubles?,Some copies will soon be available on the black market at between 70 and 150 roubles.,Lower,0.000436938,4.424371719
Might any groups need even more?,Some groups may need even more.,Lower,0.006213738,4.457341194
Do any people need blood transfusions as part of ordinary medical treatment for various kinds of illnesses?,Some people need blood transfusions as part of ordinary medical treatment for various kinds of illnesses.,Lower,0.000242441,6.306155205
Are any attitudes negative?,Some attitudes are negative.,Lower,0.000315478,6.54586792
Are any decisions multiple?,Some decisions are multiple.,Lower,0.000622108,6.591031075
Will any plants be plants part of the building blocks of creation?,Some plants will always be plants part of the building blocks of creation.,Lower,0.000462401,6.071648121
Are any metal finishes not obvious from their names?,Some metal finishes are not obvious from their names.,Lower,0.000119455,4.947053909
Would any sections of an audience hear one sound?,Some sections of an audience would hear one sound.,Lower,0.002327227,6.13651371
Do any farmers spend much on workers?,Some farmers spend much on workers.,Lower,0.00027726,7.098876476
Do any judges and academic authorities favour a narrow approach to the meaning of the term?,Some judges and academic authorities favour a narrow approach to the meaning of the term.,Lower,0.000150692,6.103078365
Do any people do protests?,Some people do protests.,Lower,0.000369975,7.142442226
Are any relationships of this kind?,Some relationships are of just this kind.,Lower,0.001048638,6.68833828
Do any people go off to El Vino 's or the Falstaff?,Some people go off to El Vino 's or the Falstaff.,Lower,0.000114447,5.832299709
Do any women sustain positive feelings any the way through?,Some women sustain positive feelings all the way through.,Lower,0.000205001,6.701836586
Do any people feel the cold?,Some people feel the cold.,Lower,0.000778501,6.729486465
Do any children and substitute parents need the certainty of the legal tie of adoption?,Some children and substitute parents need the certainty of the legal tie of adoption.,Lower,0.000180559,5.935412884
Did any kids put another's handwork down?,Some kids put another's handwork down.,Lower,0.004197454,6.263660908
Did any commentators speak of the Japanisation of British industrial relations?,Some commentators spoke of the Japanisation of British industrial relations.,Lower,0.00011874,7.763718605
Could any visits be for convenience shopping?,Some visits may only be for convenience shopping.,Lower,0.016409062,4.549413204
Can any members provide it?,Some members can provide it.,Lower,0.000309038,6.01736784
Do any societies fear hostile bids a subject on the agenda at the Building Societies Association council meeting tomorrow?,Some societies fear hostile bids a subject on the agenda at the Building Societies Association council meeting tomorrow.,Lower,6.71E-05,4.543192863
Do any people do sort of Amstrad kits?,Some people do sort of Amstrad kits.,Lower,0.000408316,6.043715
Did any staff realise the knock-on effects of the developments to that date and of the predicted integration of the library and the audio-visual resources area?,Some staff realised the knock-on effects of the developments to that date and of the predicted integration of the library and the audio-visual resources area.,Lower,0.000196536,5.97967577
Are any walks accessible?,Some walks are accessible.,Lower,7.40E-05,6.200564384
Is any unemployment a result of depressed demand?,Some unemployment is a result of depressed demand.,Lower,0.000189382,6.581983089
Are any sites of cancer common?,Some sites of cancer are common.,Lower,0.000198682,6.167748928
Do any commodity contracts state that certificates of inspection of certain commodities are final as to quality?,Some commodity contracts state that certificates of inspection of certain commodities are final as to quality.,Lower,0.000161065,7.23386097
Aren't any stall holders happy?,Some stall holders still aren't happy.,Lower,0.000876274,5.012827873
Will any bastard pay?,Some bastard will pay.,Lower,0.000801467,6.052636623
Do any people murder their children?,Some people murder their children.,Lower,0.000718554,7.145902157
Do any professors and other senior individuals wear collars and ties with more formal suits?,Some professors and other senior may wear collars and ties with more formal suits.,Lower,0.000866132,5.141206741
Do any jobs or hobbies allow verbally or physically for sublimation of impulses?,Some jobs or hobbies allow verbally or physically for sublimation of impulses.,Lower,0.000207744,6.402571678
Do any provisions apply to every officer of companies whether directors managers auditors or members of a supervisory board in regard to the duty of care appointment and cessation of their office?,Some provisions apply to every officer of companies whether directors managers auditors or members of a supervisory board in regard to the duty of care appointment and cessation of their office.,Lower,0.000108725,6.183556557
Do any people thrive on it?,Some people thrive on it.,Lower,0.00343124,6.443969727
Do any firms such as Texas already supply their software in this form?,Some firms such as Texas already supply their software in this form.,Lower,0.00019892,6.148265362
Do any blokes have the luck?,Some blokes have the luck.,Lower,0.001613726,4.543005466
Do any policy issues require identification of the effects of other variables such as age qualifications and marital status?,Some policy issues may require identification of the effects of other variables such as age qualifications and marital status.,Lower,0.000360673,5.886642933
Can any yeasts grow in both ways either as hyphae or as single cells?,Some yeasts can grow in both ways either as hyphae or as single cells.,Lower,0.000852949,5.808297634
Were any producets more expensive in France?,Some producets were more expensive in France.,Lower,0.000909384,6.828583717
Did any women have the luck?,Some women had the luck.,Lower,0.012145486,5.101884365
Can any people change their questions?,Some people can change their questions.,Lower,0.005006307,6.267305374
Do any organisations specify that the disturbance allowance covers such items?,Some organisations specify that the disturbance allowance covers such items.,Lower,7.36E-05,5.990135193
Can any patients experience pain at the site of the rash for six months or even longer?,Some patients may experience pain at the site of the rash for six months or even longer.,Lower,0.000373791,5.69230938
Do any men hate women?,Some men hate women.,Lower,0.001817864,6.64819622
Do any women feel more keen especially during the middle few months?,Some women feel more keen especially during the middle few months.,Lower,0.000227656,5.167682648
Did any skins have long side-burns terminating at the lower jaw?,Some skins had long side-burns terminating at the lower jaw.,Lower,0.000479575,5.386558056
Are any Scots Labourites fervently Unionist?,Some Scots Labourites are fervently Unionist.,Lower,6.15E-05,6.072485447
Do any people see it as instant answer to every problem in life?,Some people see it as instant answer to every problem in life.,Lower,0.000669584,6.469053745
Do any birds do better in that situation?,Some birds may do better in that situation.,Lower,0.000728217,5.747255802
Can any versions of traditional positivism work well?,Some versions of traditional positivism may well do.,Lower,6.85E-05,5.995763302
Do any GPs undertake minor elective surgery?,Some GPs already undertake minor elective surgery.,Lower,0.000148307,6.800251961
Did any countries of socialist orientation such as Afghanistan become very close allies of the USSR in the Brezhnev years?,Some countries of socialist orientation such as Afghanistan became very close allies of the USSR in the Brezhnev years.,Lower,6.18E-05,6.121311188
Are any winners coming up?,Some winners are coming up.,Lower,0.000328953,5.262905121
Are any countries above us?,Some countries are above us.,Lower,0.000295623,5.739537716
Are any folks funny?,Some folks are funny.,Lower,0.000760964,5.336231709
Would any programmes involve more than one organization?,Some programmes would involve more than one organization.,Lower,0.002880964,7.107399464
Do any punters still offer more money for sex without a condom?,Some punters still offer more money for sex without a condom.,Lower,0.000136266,5.692070007
Are any records wacky?,Some records are wacky.,Lower,0.000887728,5.548896313
Are any foods pretty universally popular?,Some foods are pretty universally popular.,Lower,0.000978352,5.509193897
Do any newspapers publicly reject the lobby and its works?,Some newspapers publicly reject the lobby and its works.,Lower,0.00019892,6.524980545
Are any countries in the midst of a recession?,Some countries are in the midst of a recession.,Lower,0.000175432,6.725304127
Did any men from an ML do this damage?,Some men from an ML did this damage.,Lower,0.000662606,6.07638073
Do any people have no pride?,Some people have no pride.,Lower,0.0018439,6.501528263
Are any patients suspicious about the timing?,Some patients are suspicious about the timing.,Lower,0.001211244,6.590368748
Did any illuminating principles emerge?,Some illuminating principles emerged.,Lower,0.000614116,6.443889141
Are any of the brass sounds good?,Some of the brass sounds are good.,Lower,0.00028191,6.020666122
Do any people do up to two a week?,Some people do up to two a week.,Lower,0.00212848,7.140907288
Do any lecturers give you a set of references?,Some lecturers give you a set of references.,Lower,0.00109315,7.341086388
Must any Jokaero have psyches?,Some Jokaero must have psyches.,Lower,0.000424058,6.076509953
Are any drivers such gullible dicks?,Some drivers are such gullible dicks.,Lower,0.000208698,4.92201376
Do any folks get the luck?,Some folks get the luck.,Lower,0.000920004,4.629917145
Are any items effectively open?,Some items are effectively open.,Lower,0.000232545,6.38389349
Do any people learn in time?,Some people learn just in time.,Lower,0.000971909,5.915313244
Will any boys be like that?,Some boys will be like that.,Lower,0.001984896,5.491740227
Do any anurans defend themselves in a more active way?,Some anurans defend themselves in a more active way.,Lower,0.000213109,5.443544865
Are any objects hard to value?,Some objects are hard to value.,Lower,0.000190097,5.991071701
Might any people with similar experiences not view these in exclusively negative terms?,Some people with similar experiences may not view these in exclusively negative terms.,Lower,0.000168338,5.08324337
Weren't any people happy about the accident?,Some people were not happy about the accident.,Lower,0.002852869,6.312456608
Do any speakers invest an effort in the communication process?,Some speakers invest an effort in the communication process.,Lower,0.00012947,6.527462959
Won't any football teams let the fathers on the pitch?,Some football teams won't let the fathers on the pitch.,Lower,0.000463235,5.345536232
Did any groups still express misgivings about the selection?,Some groups still expressed misgivings about the selection.,Lower,0.000210009,5.715053082
Do any of us have Candida yeasts in our gut?,Some of us have Candida yeasts in our gut.,Lower,0.000638987,6.669947624
Did any KMT legislators back the DPP 's call for a plebiscite on independence?,Some KMT legislators backed the DPP 's call for a plebiscite on independence.,Lower,0.000139723,5.565042973
Would any speeches in the House of Lords in Ashington Piggeries Ltd v Christopher Hill Ltd 1972 AC 441 suggest an important gloss to this approach?,Some speeches in the House of Lords in Ashington Piggeries Ltd v Christopher Hill Ltd 1972 AC 441 would suggest an important gloss to this approach.,Lower,0.000139604,5.283887386
Do any writers have high and low versions of any tones?,Some writers have high and low versions of all tones.,Lower,9.91E-05,6.45775032
Will any issues of securities inevitably involve judgment of price?,Some issues of securities will inevitably involve judgment of price.,Lower,0.000125535,6.424693584
Do any users have multi-copy stationery?,Some users have multi-copy stationery.,Lower,0.000380231,5.939265251
Do any men of smaller than average build use the drugs to attain a normal build?,Some men of smaller than average build use the drugs to attain a normal build.,Lower,0.000185805,6.106516361
Do any people in the West notably the intelligence community deliberately bestow upon the KGB an incredible reputation for efficiency and prowess?,Some people in the West notably the intelligence community deliberately bestow upon the KGB an incredible reputation for efficiency and prowess.,Lower,4.16E-05,5.268497467
Is any reporting sophisticated?,Some reporting is sophisticated.,Lower,0.001581369,6.044705391
Did any men pinch any the wages at the gravel pit?,Some men pinched all the wages at the gravel pit.,Lower,0.000763827,7.626551628
Do any fans send two cards to the band at Christmas?,Some fans send two cards to the band at Christmas.,Lower,0.000196417,5.707139015
Did any Allied occupation rights still survive in Berlin in 1989?,Some Allied occupation rights still survived in Berlin in 1989.,Lower,0.000561574,6.432505608
Do any vestiges of my teenage thinking linger on?,Some vestiges of my teenage thinking linger on.,Lower,0.00159707,4.538807869
Did any elements of the endoplasmic reticulum have both receptors?,Some elements of the endoplasmic reticulum had both receptors.,Lower,0.000453515,6.967362881
Will any Gargoyles emerge from the walls and attack as complete creatures?,Some Gargoyles will emerge from the walls and attack as complete creatures.,Lower,0.000324302,5.253744602
Do any people with political ideas have problems?,Some people with political ideas have problems.,Lower,0.000358884,6.691650391
Are any beliefs in violence unrelated to catholic moral teaching?,Some beliefs in violence are unrelated to catholic moral teaching.,Lower,6.41E-05,5.869866848
Do any men never grow up?,Some men never grow up.,Lower,0.001075667,6.376401424
Do any places need cleaners in the day-time?,Some places need cleaners in the day-time.,Lower,0.000790074,6.399769783
Do any people have the luck?,Some people have the luck.,Lower,0.003575152,5.252776146
Are any metals reactive?,Some metals are reactive.,Lower,0.000480648,6.651575565
Are any patients well-informed citizens or even experts in their own illnesses?,Some patients are well-informed citizens or even experts in their own illnesses.,Lower,8.98E-05,6.193577766
Do any sports seem very complex?,Some sports seem very complex.,Lower,0.001346421,6.118745327
Do any interpretations of modern astrophysics go so far as to suggest that a conscious observer is necessary for the physical universe to exist?,Some interpretations of modern astrophysics go so far as to suggest that a conscious observer is necessary for the physical universe to exist.,Lower,6.76E-05,5.860679626
Are any journalists free to report what they have been told without question?,Some journalists are free to report what they have been told without question.,Lower,6.91E-05,5.560380459
Would any modern parents be horrified at this ritual?,Some modern parents would be horrified at this ritual.,Lower,0.008980122,5.543905258
